Timestamp,320.003-SB401_R_Tl,320.003-RT502_Tl
30/03/2022 13:31:30,60,"38,89"
30/03/2022 13:31:20,60,"38,89"
30/03/2022 13:31:10,60,"38,88"
30/03/2022 13:31:00,60,"38,88"
30/03/2022 13:30:50,60,"38,88"
30/03/2022 13:30:40,60,"38,87"
30/03/2022 13:30:30,60,"38,87"
30/03/2022 13:30:20,60,"38,87"
30/03/2022 13:30:10,60,"38,87"
30/03/2022 13:30:00,60,"38,86"
30/03/2022 13:29:50,60,"38,86"
30/03/2022 13:29:40,60,"38,85"
30/03/2022 13:29:30,60,"38,85"
30/03/2022 13:29:20,60,"38,85"
30/03/2022 13:29:10,60,"38,85"
30/03/2022 13:29:00,60,"38,85"
30/03/2022 13:28:50,60,"38,84"
30/03/2022 13:28:40,60,"38,84"
30/03/2022 13:28:30,60,"38,84"
30/03/2022 13:28:20,60,"38,84"
30/03/2022 13:28:10,60,"38,83"
30/03/2022 13:28:00,60,"38,83"
30/03/2022 13:27:50,60,"38,83"
30/03/2022 13:27:40,60,"38,83"
30/03/2022 13:27:30,60,"38,82"
30/03/2022 13:27:20,60,"38,82"
30/03/2022 13:27:10,60,"38,82"
30/03/2022 13:27:00,60,"38,81"
30/03/2022 13:26:50,60,"38,81"
30/03/2022 13:26:40,60,"38,81"
30/03/2022 13:26:30,60,"38,81"
30/03/2022 13:26:20,60,"38,81"
30/03/2022 13:26:10,60,"38,81"
30/03/2022 13:26:00,60,"38,81"
30/03/2022 13:25:50,60,"38,8"
30/03/2022 13:25:40,60,"38,8"
30/03/2022 13:25:30,60,"38,8"
30/03/2022 13:25:20,60,"38,79"
30/03/2022 13:25:10,60,"38,79"
30/03/2022 13:25:00,60,"38,79"
30/03/2022 13:24:50,60,"38,79"
30/03/2022 13:24:40,60,"38,79"
30/03/2022 13:24:30,60,"38,79"
30/03/2022 13:24:20,60,"38,79"
30/03/2022 13:24:10,60,"38,78"
30/03/2022 13:24:00,60,"38,78"
30/03/2022 13:23:50,60,"38,78"
30/03/2022 13:23:40,60,"38,78"
30/03/2022 13:23:30,60,"38,77"
30/03/2022 13:23:20,60,"38,77"
30/03/2022 13:23:10,60,"38,77"
30/03/2022 13:23:00,60,"38,77"
30/03/2022 13:22:50,60,"38,77"
30/03/2022 13:22:40,60,"38,77"
30/03/2022 13:22:30,60,"38,77"
30/03/2022 13:22:20,60,"38,76"
30/03/2022 13:22:10,60,"38,76"
30/03/2022 13:22:00,60,"38,76"
30/03/2022 13:21:50,60,"38,76"
30/03/2022 13:21:40,60,"38,76"
30/03/2022 13:21:30,60,"38,75"
30/03/2022 13:21:20,60,"38,75"
30/03/2022 13:21:10,60,"38,75"
30/03/2022 13:21:00,60,"38,75"
30/03/2022 13:20:50,60,"38,75"
30/03/2022 13:20:40,60,"38,75"
30/03/2022 13:20:30,60,"38,74"
30/03/2022 13:20:20,60,"38,74"
30/03/2022 13:20:10,60,"38,74"
30/03/2022 13:20:00,60,"38,74"
30/03/2022 13:19:50,60,"38,74"
30/03/2022 13:19:40,60,"38,74"
30/03/2022 13:19:30,60,"38,74"
30/03/2022 13:19:20,60,"38,73"
30/03/2022 13:19:10,60,"38,73"
30/03/2022 13:19:00,60,"38,73"
30/03/2022 13:18:50,60,"38,73"
30/03/2022 13:18:40,60,"38,73"
30/03/2022 13:18:30,60,"38,73"
30/03/2022 13:18:20,60,"38,73"
30/03/2022 13:18:10,60,"38,72"
30/03/2022 13:18:00,60,"38,73"
30/03/2022 13:17:50,60,"38,72"
30/03/2022 13:17:40,60,"38,72"
30/03/2022 13:17:30,60,"38,72"
30/03/2022 13:17:20,60,"38,72"
30/03/2022 13:17:10,60,"38,72"
30/03/2022 13:17:00,60,"38,72"
30/03/2022 13:16:50,60,"38,71"
30/03/2022 13:16:40,60,"38,71"
30/03/2022 13:16:30,60,"38,71"
30/03/2022 13:16:20,60,"38,71"
30/03/2022 13:16:10,60,"38,71"
30/03/2022 13:16:00,60,"38,71"
30/03/2022 13:15:50,60,"38,71"
30/03/2022 13:15:40,60,"38,71"
30/03/2022 13:15:30,60,"38,7"
30/03/2022 13:15:20,60,"38,7"
30/03/2022 13:15:10,60,"38,7"
30/03/2022 13:15:00,60,"38,7"
30/03/2022 13:14:50,60,"38,7"
30/03/2022 13:14:40,60,"38,69"
30/03/2022 13:14:30,60,"38,69"
30/03/2022 13:14:20,60,"38,69"
30/03/2022 13:14:10,60,"38,69"
30/03/2022 13:14:00,60,"38,69"
30/03/2022 13:13:50,60,"38,69"
30/03/2022 13:13:40,60,"38,69"
30/03/2022 13:13:30,60,"38,68"
30/03/2022 13:13:20,60,"38,68"
30/03/2022 13:13:10,60,"38,68"
30/03/2022 13:13:00,60,"38,68"
30/03/2022 13:12:50,60,"38,67"
30/03/2022 13:12:40,60,"38,67"
30/03/2022 13:12:30,60,"38,67"
30/03/2022 13:12:20,60,"38,67"
30/03/2022 13:12:10,60,"38,67"
30/03/2022 13:12:00,60,"38,67"
30/03/2022 13:11:50,60,"38,66"
30/03/2022 13:11:40,60,"38,66"
30/03/2022 13:11:30,60,"38,66"
30/03/2022 13:11:20,60,"38,65"
30/03/2022 13:11:10,60,"38,65"
30/03/2022 13:11:00,60,"38,65"
30/03/2022 13:10:50,60,"38,65"
30/03/2022 13:10:40,60,"38,65"
30/03/2022 13:10:30,60,"38,64"
30/03/2022 13:10:20,60,"38,64"
30/03/2022 13:10:10,60,"38,64"
30/03/2022 13:10:00,60,"38,64"
30/03/2022 13:09:50,60,"38,63"
30/03/2022 13:09:40,60,"38,63"
30/03/2022 13:09:30,60,"38,63"
30/03/2022 13:09:20,60,"38,63"
30/03/2022 13:09:10,60,"38,63"
30/03/2022 13:09:00,60,"38,62"
30/03/2022 13:08:50,60,"38,62"
30/03/2022 13:08:40,60,"38,62"
30/03/2022 13:08:30,60,"38,62"
30/03/2022 13:08:20,60,"38,61"
30/03/2022 13:08:10,60,"38,61"
30/03/2022 13:08:00,60,"38,61"
30/03/2022 13:07:50,60,"38,61"
30/03/2022 13:07:40,60,"38,61"
30/03/2022 13:07:30,60,"38,6"
30/03/2022 13:07:20,60,"38,6"
30/03/2022 13:07:10,60,"38,6"
30/03/2022 13:07:00,60,"38,6"
30/03/2022 13:06:50,60,"38,59"
30/03/2022 13:06:40,60,"38,59"
30/03/2022 13:06:30,60,"38,6"
30/03/2022 13:06:20,60,"38,59"
30/03/2022 13:06:10,60,"38,59"
30/03/2022 13:06:00,60,"38,59"
30/03/2022 13:05:50,60,"38,59"
30/03/2022 13:05:40,60,"38,58"
30/03/2022 13:05:30,60,"38,58"
30/03/2022 13:05:20,60,"38,58"
30/03/2022 13:05:10,60,"38,58"
30/03/2022 13:05:00,60,"38,57"
30/03/2022 13:04:50,60,"38,57"
30/03/2022 13:04:40,60,"38,57"
30/03/2022 13:04:30,60,"38,57"
30/03/2022 13:04:20,60,"38,56"
30/03/2022 13:04:10,60,"38,56"
30/03/2022 13:04:00,60,"38,56"
30/03/2022 13:03:50,60,"38,55"
30/03/2022 13:03:40,60,"38,55"
30/03/2022 13:03:30,60,"38,55"
30/03/2022 13:03:20,60,"38,55"
30/03/2022 13:03:10,60,"38,54"
30/03/2022 13:03:00,60,"38,54"
30/03/2022 13:02:50,60,"38,54"
30/03/2022 13:02:40,60,"38,53"
30/03/2022 13:02:30,60,"38,53"
30/03/2022 13:02:20,60,"38,53"
30/03/2022 13:02:10,60,"38,52"
30/03/2022 13:02:00,60,"38,52"
30/03/2022 13:01:50,60,"38,51"
30/03/2022 13:01:40,60,"38,51"
30/03/2022 13:01:30,60,"38,51"
30/03/2022 13:01:20,60,"38,5"
30/03/2022 13:01:10,60,"38,5"
30/03/2022 13:01:00,60,"38,49"
30/03/2022 13:00:50,60,"38,49"
30/03/2022 13:00:40,60,"38,49"
