"Timestamp","320.002-SB401_R_Tl","320.002-RT502_Tl"
"30/03/2022 10:49:10","60,000","36,580"
"30/03/2022 10:49:00","60,000","36,580"
"30/03/2022 10:48:50","60,000","36,580"
"30/03/2022 10:48:40","60,000","36,570"
"30/03/2022 10:48:30","60,000","36,570"
"30/03/2022 10:48:20","60,000","36,560"
"30/03/2022 10:48:10","60,000","36,560"
"30/03/2022 10:48:00","60,000","36,560"
"30/03/2022 10:47:50","60,000","36,550"
"30/03/2022 10:47:40","60,000","36,540"
"30/03/2022 10:47:30","60,000","36,540"
"30/03/2022 10:47:20","60,000","36,530"
"30/03/2022 10:47:10","60,000","36,530"
"30/03/2022 10:47:00","60,000","36,530"
"30/03/2022 10:46:50","60,000","36,520"
"30/03/2022 10:46:40","60,000","36,520"
"30/03/2022 10:46:30","60,000","36,510"
"30/03/2022 10:46:20","60,000","36,510"
"30/03/2022 10:46:10","60,000","36,510"
"30/03/2022 10:46:00","60,000","36,510"
"30/03/2022 10:45:50","60,000","36,500"
"30/03/2022 10:45:40","60,000","36,500"
"30/03/2022 10:45:30","60,000","36,500"
"30/03/2022 10:45:20","60,000","36,490"
"30/03/2022 10:45:10","60,000","36,490"
"30/03/2022 10:45:00","60,000","36,490"
"30/03/2022 10:44:50","60,000","36,480"
"30/03/2022 10:44:40","60,000","36,480"
"30/03/2022 10:44:30","60,000","36,480"
"30/03/2022 10:44:20","60,000","36,470"
"30/03/2022 10:44:10","60,000","36,470"
"30/03/2022 10:44:00","60,000","36,470"
"30/03/2022 10:43:50","60,000","36,470"
"30/03/2022 10:43:40","60,000","36,460"
"30/03/2022 10:43:30","60,000","36,460"
"30/03/2022 10:43:20","60,000","36,450"
"30/03/2022 10:43:10","60,000","36,450"
"30/03/2022 10:43:00","60,000","36,450"
"30/03/2022 10:42:50","60,000","36,440"
"30/03/2022 10:42:40","60,000","36,440"
"30/03/2022 10:42:30","60,000","36,430"
"30/03/2022 10:42:20","60,000","36,430"
"30/03/2022 10:42:10","60,000","36,430"
"30/03/2022 10:42:00","60,000","36,430"
"30/03/2022 10:41:50","60,000","36,430"
"30/03/2022 10:41:40","60,000","36,420"
"30/03/2022 10:41:30","60,000","36,410"
"30/03/2022 10:41:20","60,000","36,410"
"30/03/2022 10:41:10","60,000","36,410"
"30/03/2022 10:41:00","60,000","36,410"
"30/03/2022 10:40:50","60,000","36,400"
"30/03/2022 10:40:40","60,000","36,400"
"30/03/2022 10:40:30","60,000","36,390"
"30/03/2022 10:40:20","60,000","36,390"
"30/03/2022 10:40:10","60,000","36,390"
"30/03/2022 10:40:00","60,000","36,380"
"30/03/2022 10:39:50","60,000","36,380"
"30/03/2022 10:39:40","60,000","36,370"
"30/03/2022 10:39:30","60,000","36,360"
"30/03/2022 10:39:20","60,000","36,360"
"30/03/2022 10:39:10","60,000","36,360"
"30/03/2022 10:39:00","60,000","36,360"
"30/03/2022 10:38:50","60,000","36,350"
"30/03/2022 10:38:40","60,000","36,340"
"30/03/2022 10:38:30","60,000","36,340"
"30/03/2022 10:38:20","60,000","36,340"
"30/03/2022 10:38:10","60,000","36,330"
"30/03/2022 10:38:00","60,000","36,320"
"30/03/2022 10:37:50","60,000","36,320"
"30/03/2022 10:37:40","60,000","36,320"
"30/03/2022 10:37:30","60,000","36,320"
"30/03/2022 10:37:20","60,000","36,310"
"30/03/2022 10:37:10","60,000","36,300"
"30/03/2022 10:37:00","60,000","36,290"
"30/03/2022 10:36:50","60,000","36,290"
"30/03/2022 10:36:40","60,000","36,290"
"30/03/2022 10:36:30","60,000","36,280"
"30/03/2022 10:36:20","60,000","36,280"
"30/03/2022 10:36:10","60,000","36,270"
"30/03/2022 10:36:00","60,000","36,270"
"30/03/2022 10:35:50","60,000","36,260"
"30/03/2022 10:35:40","60,000","36,260"
"30/03/2022 10:35:30","60,000","36,250"
"30/03/2022 10:35:20","60,000","36,250"
"30/03/2022 10:35:10","60,000","36,250"
"30/03/2022 10:35:00","60,000","36,240"
"30/03/2022 10:34:50","60,000","36,240"
"30/03/2022 10:34:40","60,000","36,230"
"30/03/2022 10:34:30","60,000","36,230"
"30/03/2022 10:34:20","60,000","36,220"
"30/03/2022 10:34:10","60,000","36,220"
"30/03/2022 10:34:00","60,000","36,210"
"30/03/2022 10:33:50","60,000","36,200"
"30/03/2022 10:33:40","60,000","36,200"
"30/03/2022 10:33:30","60,000","36,190"
"30/03/2022 10:33:20","60,000","36,190"
"30/03/2022 10:33:10","60,000","36,190"
"30/03/2022 10:33:00","60,000","36,180"
"30/03/2022 10:32:50","60,000","36,180"
"30/03/2022 10:32:40","60,000","36,170"
"30/03/2022 10:32:30","60,000","36,170"
"30/03/2022 10:32:20","60,000","36,160"
"30/03/2022 10:32:10","60,000","36,160"
"30/03/2022 10:32:00","60,000","36,150"
"30/03/2022 10:31:50","60,000","36,150"
"30/03/2022 10:31:40","60,000","36,150"
"30/03/2022 10:31:30","60,000","36,140"
"30/03/2022 10:31:20","60,000","36,130"
"30/03/2022 10:31:10","60,000","36,130"
"30/03/2022 10:31:00","60,000","36,120"
"30/03/2022 10:30:50","60,000","36,120"
"30/03/2022 10:30:40","60,000","36,120"
"30/03/2022 10:30:30","60,000","36,110"
"30/03/2022 10:30:20","60,000","36,100"
"30/03/2022 10:30:10","60,000","36,100"
"30/03/2022 10:30:00","60,000","36,090"
"30/03/2022 10:29:50","60,000","36,090"
"30/03/2022 10:29:40","60,000","36,080"
"30/03/2022 10:29:30","60,000","36,080"
"30/03/2022 10:29:20","60,000","36,070"
"30/03/2022 10:29:10","60,000","36,070"
"30/03/2022 10:29:00","60,000","36,060"
"30/03/2022 10:28:50","60,000","36,050"
"30/03/2022 10:28:40","60,000","36,050"
"30/03/2022 10:28:30","60,000","36,040"
"30/03/2022 10:28:20","60,000","36,040"
"30/03/2022 10:28:10","60,000","36,030"
"30/03/2022 10:28:00","60,000","36,020"
"30/03/2022 10:27:50","60,000","36,020"
"30/03/2022 10:27:40","60,000","36,010"
"30/03/2022 10:27:30","60,000","36,010"
"30/03/2022 10:27:20","60,000","36,000"
"30/03/2022 10:27:10","60,000","36,000"
"30/03/2022 10:27:00","60,000","35,990"
"30/03/2022 10:26:50","60,000","35,980"
"30/03/2022 10:26:40","60,000","35,980"
"30/03/2022 10:26:30","60,000","35,970"
"30/03/2022 10:26:20","60,000","35,960"
"30/03/2022 10:26:10","60,000","35,950"
"30/03/2022 10:26:00","60,000","35,950"
"30/03/2022 10:25:50","60,000","35,940"
"30/03/2022 10:25:40","60,000","35,940"
"30/03/2022 10:25:30","60,000","35,940"
"30/03/2022 10:25:20","60,000","35,930"
"30/03/2022 10:25:10","60,000","35,920"
"30/03/2022 10:25:00","60,000","35,910"
"30/03/2022 10:24:50","60,000","35,910"
"30/03/2022 10:24:40","60,000","35,910"
"30/03/2022 10:24:30","60,000","35,900"
"30/03/2022 10:24:20","60,000","35,890"
"30/03/2022 10:24:10","60,000","35,890"
"30/03/2022 10:24:00","60,000","35,880"
"30/03/2022 10:23:50","60,000","35,870"
"30/03/2022 10:23:40","60,000","35,860"
"30/03/2022 10:23:30","60,000","35,860"
"30/03/2022 10:23:20","60,000","35,850"
"30/03/2022 10:23:10","60,000","35,850"
"30/03/2022 10:23:00","60,000","35,840"
"30/03/2022 10:22:50","60,000","35,830"
"30/03/2022 10:22:40","60,000","35,830"
"30/03/2022 10:22:30","60,000","35,830"
"30/03/2022 10:22:20","60,000","35,820"
"30/03/2022 10:22:10","60,000","35,810"
"30/03/2022 10:22:00","60,000","35,800"
"30/03/2022 10:21:50","60,000","35,800"
"30/03/2022 10:21:40","60,000","35,790"
"30/03/2022 10:21:30","60,000","35,790"
"30/03/2022 10:21:20","60,000","35,780"
"30/03/2022 10:21:10","60,000","35,770"
"30/03/2022 10:21:00","60,000","35,760"
"30/03/2022 10:20:50","60,000","35,750"
"30/03/2022 10:20:40","60,000","35,750"
"30/03/2022 10:20:30","60,000","35,740"
"30/03/2022 10:20:20","60,000","35,730"
"30/03/2022 10:20:10","60,000","35,720"
"30/03/2022 10:20:00","60,000","35,720"
"30/03/2022 10:19:50","60,000","35,710"
"30/03/2022 10:19:40","60,000","35,700"
"30/03/2022 10:19:30","60,000","35,690"
"30/03/2022 10:19:20","60,000","35,680"
"30/03/2022 10:19:10","60,000","35,680"
"30/03/2022 10:19:00","60,000","35,670"
"30/03/2022 10:18:50","60,000","35,660"
"30/03/2022 10:18:40","60,000","35,660"
"30/03/2022 10:18:30","60,000","35,650"
"30/03/2022 10:18:20","60,000","35,640"
"30/03/2022 10:18:10","60,000","35,630"
"30/03/2022 10:18:00","60,000","35,630"
"30/03/2022 10:17:50","60,000","35,620"
"30/03/2022 10:17:40","60,000","35,600"
"30/03/2022 10:17:30","60,000","35,600"
"30/03/2022 10:17:20","60,000","35,590"
"30/03/2022 10:17:10","60,000","35,580"
"30/03/2022 10:17:00","60,000","35,570"
"30/03/2022 10:16:50","60,000","35,560"
"30/03/2022 10:16:40","60,000","35,550"
"30/03/2022 10:16:30","60,000","35,540"
"30/03/2022 10:16:20","60,000","35,540"
"30/03/2022 10:16:10","60,000","35,520"
"30/03/2022 10:16:00","60,000","35,520"
"30/03/2022 10:15:50","60,000","35,510"
"30/03/2022 10:15:40","60,000","35,500"
"30/03/2022 10:15:30","60,000","35,490"
"30/03/2022 10:15:20","60,000","35,480"
"30/03/2022 10:15:10","60,000","35,470"
"30/03/2022 10:15:00","60,000","35,460"
"30/03/2022 10:14:50","60,000","35,450"
"30/03/2022 10:14:40","60,000","35,440"
"30/03/2022 10:14:30","60,000","35,430"
"30/03/2022 10:14:20","60,000","35,430"
"30/03/2022 10:14:10","60,000","35,410"
"30/03/2022 10:14:00","60,000","35,400"
"30/03/2022 10:13:50","60,000","35,390"
"30/03/2022 10:13:40","60,000","35,390"
"30/03/2022 10:13:30","60,000","35,380"
"30/03/2022 10:13:20","60,000","35,360"
"30/03/2022 10:13:10","60,000","35,360"
"30/03/2022 10:13:00","60,000","35,350"
"30/03/2022 10:12:50","60,000","35,340"
"30/03/2022 10:12:40","60,000","35,330"
"30/03/2022 10:12:30","60,000","35,320"
"30/03/2022 10:12:20","60,000","35,310"
"30/03/2022 10:12:10","60,000","35,300"
"30/03/2022 10:12:00","60,000","35,290"
"30/03/2022 10:11:50","60,000","35,280"
