"Timestamp","320.001-SB401_R_Tl_Etl","320.001-RT502_Tl_Etl"
"22/03/2022 21:56:50","40,000","36,160"
"22/03/2022 21:56:40","40,000","36,160"
"22/03/2022 21:56:30","40,000","36,160"
"22/03/2022 21:56:20","40,000","36,150"
"22/03/2022 21:56:10","40,000","36,150"
"22/03/2022 21:56:00","40,000","36,150"
"22/03/2022 21:55:50","40,000","36,150"
"22/03/2022 21:55:40","40,000","36,150"
"22/03/2022 21:55:30","40,000","36,150"
"22/03/2022 21:55:20","40,000","36,150"
"22/03/2022 21:55:10","40,000","36,150"
"22/03/2022 21:55:00","40,000","36,150"
"22/03/2022 21:54:50","40,000","36,150"
"22/03/2022 21:54:40","40,000","36,150"
"22/03/2022 21:54:30","40,000","36,150"
"22/03/2022 21:54:20","40,000","36,140"
"22/03/2022 21:54:10","40,000","36,140"
"22/03/2022 21:54:00","40,000","36,140"
"22/03/2022 21:53:50","40,000","36,140"
"22/03/2022 21:53:40","40,000","36,140"
"22/03/2022 21:53:30","40,000","36,140"
"22/03/2022 21:53:20","40,000","36,140"
"22/03/2022 21:53:10","40,000","36,140"
"22/03/2022 21:53:00","40,000","36,140"
"22/03/2022 21:52:50","40,000","36,140"
"22/03/2022 21:52:40","40,000","36,140"
"22/03/2022 21:52:30","40,000","36,130"
"22/03/2022 21:52:20","40,000","36,130"
"22/03/2022 21:52:10","40,000","36,130"
"22/03/2022 21:52:00","40,000","36,140"
"22/03/2022 21:51:50","40,000","36,130"
"22/03/2022 21:51:40","40,000","36,130"
"22/03/2022 21:51:30","40,000","36,130"
"22/03/2022 21:51:20","40,000","36,130"
"22/03/2022 21:51:10","40,000","36,130"
"22/03/2022 21:51:00","40,000","36,130"
"22/03/2022 21:50:50","40,000","36,120"
"22/03/2022 21:50:40","40,000","36,120"
"22/03/2022 21:50:30","40,000","36,120"
"22/03/2022 21:50:20","40,000","36,120"
"22/03/2022 21:50:10","40,000","36,120"
"22/03/2022 21:50:00","40,000","36,120"
"22/03/2022 21:49:50","40,000","36,120"
"22/03/2022 21:49:40","40,000","36,120"
"22/03/2022 21:49:30","40,000","36,120"
"22/03/2022 21:49:20","40,000","36,120"
"22/03/2022 21:49:10","40,000","36,120"
"22/03/2022 21:49:00","40,000","36,110"
"22/03/2022 21:48:50","40,000","36,110"
"22/03/2022 21:48:40","40,000","36,110"
"22/03/2022 21:48:30","40,000","36,110"
"22/03/2022 21:48:20","40,000","36,110"
"22/03/2022 21:48:10","40,000","36,110"
"22/03/2022 21:48:00","40,000","36,110"
"22/03/2022 21:47:50","40,000","36,110"
"22/03/2022 21:47:40","40,000","36,110"
"22/03/2022 21:47:30","40,000","36,110"
"22/03/2022 21:47:20","40,000","36,110"
"22/03/2022 21:47:10","40,000","36,110"
"22/03/2022 21:47:00","40,000","36,110"
"22/03/2022 21:46:50","40,000","36,110"
"22/03/2022 21:46:40","40,000","36,110"
"22/03/2022 21:46:30","40,000","36,110"
"22/03/2022 21:46:20","40,000","36,110"
"22/03/2022 21:46:10","40,000","36,110"
"22/03/2022 21:46:00","40,000","36,110"
"22/03/2022 21:45:50","40,000","36,110"
"22/03/2022 21:45:40","40,000","36,100"
"22/03/2022 21:45:30","40,000","36,100"
"22/03/2022 21:45:20","40,000","36,100"
"22/03/2022 21:45:10","40,000","36,100"
"22/03/2022 21:45:00","40,000","36,100"
"22/03/2022 21:44:50","40,000","36,100"
"22/03/2022 21:44:40","40,000","36,100"
"22/03/2022 21:44:30","40,000","36,100"
"22/03/2022 21:44:20","40,000","36,100"
"22/03/2022 21:44:10","40,000","36,100"
"22/03/2022 21:44:00","40,000","36,100"
"22/03/2022 21:43:50","40,000","36,100"
"22/03/2022 21:43:40","40,000","36,100"
"22/03/2022 21:43:30","40,000","36,100"
"22/03/2022 21:43:20","40,000","36,100"
"22/03/2022 21:43:10","40,000","36,100"
"22/03/2022 21:43:00","40,000","36,090"
"22/03/2022 21:42:50","40,000","36,090"
"22/03/2022 21:42:40","40,000","36,090"
"22/03/2022 21:42:30","40,000","36,090"
"22/03/2022 21:42:20","40,000","36,090"
"22/03/2022 21:42:10","40,000","36,090"
"22/03/2022 21:42:00","40,000","36,090"
"22/03/2022 21:41:50","40,000","36,090"
"22/03/2022 21:41:40","40,000","36,090"
"22/03/2022 21:41:30","40,000","36,090"
"22/03/2022 21:41:20","40,000","36,090"
"22/03/2022 21:41:10","40,000","36,090"
"22/03/2022 21:41:00","40,000","36,090"
"22/03/2022 21:40:50","40,000","36,090"
"22/03/2022 21:40:40","40,000","36,090"
"22/03/2022 21:40:30","40,000","36,090"
"22/03/2022 21:40:20","40,000","36,090"
"22/03/2022 21:40:10","40,000","36,090"
"22/03/2022 21:40:00","40,000","36,090"
"22/03/2022 21:39:50","40,000","36,090"
"22/03/2022 21:39:40","40,000","36,080"
"22/03/2022 21:39:30","40,000","36,080"
"22/03/2022 21:39:20","40,000","36,080"
"22/03/2022 21:39:10","40,000","36,080"
"22/03/2022 21:39:00","40,000","36,090"
"22/03/2022 21:38:50","40,000","36,080"
"22/03/2022 21:38:40","40,000","36,080"
"22/03/2022 21:38:30","40,000","36,080"
"22/03/2022 21:38:20","40,000","36,080"
"22/03/2022 21:38:10","40,000","36,080"
"22/03/2022 21:38:00","40,000","36,080"
"22/03/2022 21:37:50","40,000","36,080"
"22/03/2022 21:37:40","40,000","36,080"
"22/03/2022 21:37:30","40,000","36,080"
"22/03/2022 21:37:20","40,000","36,080"
"22/03/2022 21:37:10","40,000","36,080"
"22/03/2022 21:37:00","40,000","36,080"
"22/03/2022 21:36:50","40,000","36,080"
"22/03/2022 21:36:40","40,000","36,080"
"22/03/2022 21:36:30","40,000","36,080"
"22/03/2022 21:36:20","40,000","36,080"
"22/03/2022 21:36:10","40,000","36,080"
"22/03/2022 21:36:00","40,000","36,080"
"22/03/2022 21:35:50","40,000","36,080"
"22/03/2022 21:35:40","40,000","36,080"
"22/03/2022 21:35:30","40,000","36,080"
"22/03/2022 21:35:20","40,000","36,080"
"22/03/2022 21:35:10","40,000","36,080"
"22/03/2022 21:35:00","40,000","36,080"
"22/03/2022 21:34:50","40,000","36,080"
"22/03/2022 21:34:40","40,000","36,080"
"22/03/2022 21:34:30","40,000","36,080"
"22/03/2022 21:34:20","40,000","36,080"
"22/03/2022 21:34:10","40,000","36,080"
"22/03/2022 21:34:00","40,000","36,080"
"22/03/2022 21:33:50","40,000","36,080"
"22/03/2022 21:33:40","40,000","36,080"
"22/03/2022 21:33:30","40,000","36,080"
"22/03/2022 21:33:20","40,000","36,080"
"22/03/2022 21:33:10","40,000","36,080"
"22/03/2022 21:33:00","40,000","36,080"
